Make,Model,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Aircraft.damage,Broad.phase.of.flight
Cessna,172N,0,0,1,3,Substantial,Cruise
Mooney,M-20C,0,0,0,1,Substantial,Landing
Bellanca,7GCBC,2,0,0,0,Substantial,Maneuvering
Piper,PA-28-140,0,0,0,1,Substantial,Go-around
Cessna,152,0,0,0,1,Substantial,Takeoff
Fairchild Hiller,227C,0,0,0,4,Substantial,Landing
Bellanca,8KCAB,0,1,1,0,Substantial,Takeoff
Kaman,HH-43F,0,0,1,0,Destroyed,Maneuvering
Bellanca,14-19-3A,2,0,0,0,Destroyed,Cruise
Cessna,421C,0,0,0,6,Substantial,Cruise
Grumman,G-164A,0,0,0,1,Substantial,Takeoff
Cessna,A185F,0,0,0,2,Substantial,Taxi
Cessna,180,0,0,0,1,Substantial,Takeoff
Piper,PA-38-112,0,0,0,2,Substantial,Landing
Cessna,210A,0,0,0,1,Substantial,Other
Piper,PA-60,0,0,0,1,Substantial,Takeoff
Cessna,A188B,0,1,0,0,Destroyed,Takeoff
Bell,206B,1,0,0,0,Destroyed,Cruise
Piper,PA-60/601P,0,0,0,3,Substantial,Landing
Cessna,172,0,0,0,1,Substantial,Landing
Cessna,152II,0,0,0,1,Substantial,Takeoff
Cessna,210,0,2,0,0,Destroyed,Cruise
Rockwell,COMMANDER 114,0,2,0,0,Destroyed,Cruise
Beech,BE-95-C55,1,0,0,0,Destroyed,Takeoff
Cessna,150,0,0,0,2,Destroyed,Landing
Cessna,172,0,0,0,3,Destroyed,Landing
Swearingen,SA-227,0,0,0,12,Unknown,Landing
Weatherly,201C,0,0,0,1,Substantial,Takeoff
Cessna,310Q,0,0,0,2,Substantial,Landing
Cessna,414,0,0,0,1,Substantial,Landing
Eagle,DW-1,0,0,0,1,Substantial,Cruise
Cessna,210L,4,0,0,0,Destroyed,Cruise
Piper,PA-28-181,0,0,0,2,Substantial,Landing
Cessna,421B,0,0,0,3,Substantial,Landing
Beech,23,0,0,0,2,Substantial,Landing
Piper,PA-23,0,0,0,5,Substantial,Landing
Beech,D18S,0,0,0,1,Substantial,Approach
Robinson,R22,1,0,0,0,Destroyed,Cruise
Beech,B90,0,0,0,3,Minor,Landing
Cessna,152,0,0,0,1,Substantial,Landing
Cessna,150,0,0,0,1,Substantial,Takeoff
Piper,PA-20,0,0,0,2,Substantial,Taxi
Cessna,182C,0,0,1,0,Substantial,Approach
Cessna,152,0,0,0,1,Destroyed,Cruise
Aeronca,11AC,0,0,1,0,Minor,Landing
Beech,T-34B,1,0,0,0,Destroyed,Approach
Cessna,150G,0,1,0,0,Substantial,Approach
Piper,PA-38-112,0,0,0,2,Substantial,Takeoff
Cessna,170,0,0,1,0,Substantial,Landing
Hughes,269C,0,0,0,1,Substantial,Approach
Cessna,320C,0,0,0,3,Substantial,Taxi
Cessna,T210M,0,0,0,2,Substantial,Landing
Barnes,FIREFLY-7,0,1,1,2,Substantial,Takeoff
Cessna,152,0,0,0,2,Substantial,Approach
Cessna,T21OL,6,0,0,0,Destroyed,Climb
Barnes,BALLOON AX7,0,0,1,4,Destroyed,Landing
Piper,PA-32-260,4,0,0,0,Destroyed,Unknown
Cessna,172N,0,0,0,2,Substantial,Landing
Cessna,172L,0,0,0,2,Substantial,Cruise
Schweizer,SGS1-260,0,0,0,1,Substantial,Takeoff
Piper,J3-F65,0,0,1,1,Substantial,Approach
Cessna,140A,0,1,0,0,Substantial,Maneuvering
Cessna,152,0,0,0,2,Substantial,Maneuvering
Bell,47G,0,0,0,1,Substantial,Landing
Piper,PA-25-235,1,0,1,1,Minor,Maneuvering
Homebuilt,PDQ-2,0,0,1,0,Destroyed,Taxi
Piper,PA-28-161,0,0,0,2,Substantial,Taxi
Piper,PA-25-235C,0,0,0,1,Substantial,Taxi
Bellanca,8GCBC,0,0,0,1,Substantial,Landing
Piper,PA-38-112,0,0,0,1,Substantial,Landing
Bell,206B III,0,0,0,2,Substantial,Cruise
Cessna,U206,0,0,0,2,Substantial,Cruise
Cessna,A152,2,0,0,0,Destroyed,Maneuvering
Ercoupe,415-C,1,0,0,0,Destroyed,Takeoff
Hughes,500,0,0,0,4,Substantial,Cruise
Cessna,182RG,0,0,0,4,Substantial,Landing
Beech,35-B33,0,0,1,3,Substantial,Climb
Piper,J3F-65,0,0,2,0,Substantial,Approach
Mooney,M20F,0,0,0,1,Substantial,Cruise
Piper,PA-18,0,0,0,2,Substantial,Other
Bell,206B,2,0,0,0,Destroyed,Approach
Cessna,150,1,0,0,0,Destroyed,Descent
Bell,12,0,1,0,5,Unknown,Standing
Cessna,172RG,0,0,0,2,Substantial,Takeoff
Cessna,P210N,0,0,4,0,Substantial,Landing
Cessna,170,0,0,0,1,Substantial,Landing
Piper,PA-32-300,0,0,0,3,Substantial,Landing
Beech,B35,0,0,0,1,Destroyed,Maneuvering
Piper,PA-36,1,0,0,0,Destroyed,Maneuvering
Cessna,172,3,0,0,0,Destroyed,Cruise
Cessna,152,0,0,0,1,Substantial,Taxi
Cessna,310K,0,0,0,1,Substantial,Landing
Mooney,M20E,1,0,1,0,Substantial,Climb
Piper,PA-30,0,0,0,2,Substantial,Approach
Smith Aerostar,600,0,0,0,1,Substantial,Takeoff
Cessna,182L,0,2,0,0,Destroyed,Cruise
Beech,C-24R,0,0,0,1,Substantial,Landing
Cessna,P337H,0,0,0,2,Substantial,Landing
Beech,B58,0,0,0,1,Substantial,Landing
Cessna,152,0,0,0,1,Substantial,Takeoff
Schweizer,SGS-1-35,0,0,0,1,Substantial,Landing
Piper,PA-38-112,0,0,0,2,Substantial,Landing
Piper,PA-23,0,0,0,1,Destroyed,Landing
Barnes,AX-7,0,1,1,2,Unknown,Landing
Cessna,172,0,2,0,0,Destroyed,Cruise
Cessna,182P,0,0,0,1,Substantial,Takeoff
Mooney,M20K,0,0,0,2,Substantial,Landing
Taylorcraft,BC12-D,0,0,0,3,Substantial,Taxi
Cessna,150,0,0,0,3,Substantial,Taxi
Cessna,172N,0,0,0,1,Substantial,Descent
Cessna,310,0,0,0,2,Substantial,Takeoff
Piper,PA-28-180,1,2,0,0,Substantial,Descent
Cessna,182,0,0,0,1,Substantial,Descent
Rockwell Intl,114,0,0,0,2,Destroyed,Landing
Cessna,172M,0,0,0,3,Destroyed,Takeoff
Mooney,M20J,0,1,0,1,Unknown,Standing
Cessna,172RG,0,0,0,3,Substantial,Takeoff
Howard Aircraft Corp.,DGA-15P,0,0,0,4,Substantial,Landing
